Establishment_id,Name,Category,Inspection_date,Inspection_results,City,State,Zip,Address_line_1,Address_line_2,Food_from_approved_source,Food_protected_from_contamination,Ill_workers_restricted,Proper_hand_washing,Cooling_time_and_temperature,Cold_holding_temperature,Hot_holding_temperature,Cooking_time_and_temperature,Reheating_time_and_temperature,Hot_and_cold_running_water_provided,Proper_sewage_disposal,No_bare_hand_contact,Adequate_hand_washing_facilities,Rodent_and_insects,Food_contact_surfaces_and_equipment,Inspection_type,Owner,Type,Location
1155,PIZZA ROMA,Full Service,5/18/2017 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Comprehensive,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,8/28/2014 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Monitoring,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,6/16/2015 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Comprehensive,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,1/3/2019 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Comprehensive,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,9/8/2016 0:00,Critical Violations observed,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Monitoring,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,5/31/2017 0:00,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,2/15/2019 0:00,Compliance Schedule - Outstanding,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,3/5/2019 0:00,Compliance Schedule - Completed,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Fast Food - Local,9/24/2020 0:00,------,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Food Complaint,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,1/10/2013 0:00,------,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,10/14/2016 0:00,------,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,N/A,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,1/11/2012 0:00,------,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,10/4/2016 0:00,------,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,8/14/2015 0:00,------,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Re-inspection,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
1155,PIZZA ROMA,Full Service,1/2/2013 0:00,------,COLLEGE PARK,MD,20740,9805 RHODE ISLAND AVE,------,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ABDUL BAIG,Food Establishments,POINT (-76.921484 39.013598)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Full Service,12/10/2018 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Full Service,8/13/2019 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
8458,THE HOTEL @ UMCP - POTOMAC PIZZA,Full Service,2/4/2020 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,D,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
13326,THE HOTEL @ UMCP - BAGELS 'N GRINDS,Full Service,2/4/2020 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,A,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Comprehensive,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
8458,THE HOTEL @ UMCP - POTOMAC PIZZA,Full Service,8/13/2019 0:00,Non-Compliant - Violations Observed,COLLEGE PARK,MD,20740,7777 BALTIMORE AVE,D,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Comprehensive,ADAM GREENBERG,Food Establishments,POINT (-76.936569 38.986309)
